id,title,original_title,release_date,vote_average,popularity,overview,backdrop_path,poster_path,genres,keywords,actors,directors,vote_average_naver,link_naver
504253,너의 췌장을 먹고 싶어,君の膵臓をたべたい,2018-09-14,8.2,58.813,"어느 날, 우연히 주운 한 권의 「공병문고」를 통해 ‘나’는 학급 최고의 인기인 ‘사쿠라’의 비밀과 마주하게 된다. 비밀을 숨긴 채 살아가는 ‘사쿠라’와 그 비밀을 아는 유일한 클래스메이트 ‘나’",/YLyORLsYIjC0d1TFBSpJKk7piP.jpg,/g1ucSvfDnV3HEVt8x7YeZ0fAIs2.jpg,"[16, 18, 10749]","[818, 10614, 11612, 210024]","[1318732, 1691384, 115301, 62318, 34923]",[1938744],8.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175318
698948,13 라이브즈,Thirteen Lives,2022-07-18,8,58.801,온 세상의 시선을 사로잡았던 스릴 넘치는 실화를 다룬 이야기다. 어린이 축구팀이 폭우와 위험한 범람으로 태국 탐루앙 동굴에 갇혔다가 구조된다.,/tHR34A5n0my4maACNdLpWGd6QYq.jpg,/yi5KcJqFxy0D6yP8nCfcF8gJGg5.jpg,"[18, 53, 28, 12]","[1964, 3434, 9672, 11107, 13042]","[110, 72466, 33192, 1364004, 55866]",[6159],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220612
286217,마션,The Martian,2015-09-30,7.7,61.802,"NASA 소속의 아레스 3 탐사대는 화성에 도착한 지 6일째 되는 날 거대한 모래 폭풍을 만난다. 팀원 마크 와트니가 실종되고 회오리바람에 우주선이 기울어지자, 팀원들은 마크를 찾는 일을 포기하고 화성을 떠난다.  극적으로 생존한 마크 와트니는 남은 식량과 기발한 재치로 화성에서 살아남을 방법을 찾으며 자신이 살아있음을 알리려 노력한다. 마침내 자신이 살아있다는 사실을 지구에 알리게 된 마크 와트니. NASA는 총력을 기울여 마크 와트니를 구출하기 위해 노력하고, 아레스 3 탐사대 또한 그를 구출하기 위해 그들만의 방법을 찾게 되는데...",/3dPhs7hUnQLphDFzdkD407VZDYo.jpg,/uH8q40cjMAjrRHyPJMbQwAIJATb.jpg,"[18, 12, 878]","[818, 839, 1432, 1533, 1612, 4003, 6511, 9743, 9882, 10160, 10349, 14626, 15354, 179431, 209280, 239329, 256328]","[1892, 83002, 8447, 48, 5294]",[578],8.43,https://movie.naver.com/movie/bi/mi/basic.nhn?code=129049
814800,굿나잇 마미,Goodnight Mommy,2022-09-16,6.2,58.515,엄마의 시골집으로 찾아온 쌍둥이 형제가 얼굴을 붕대로 감고 있는 엄마와 마주한다. 다름 아닌 최근 받은 성형 수술 때문이라고 하는데… 갈수록 변덕스럽고 특이해지는 엄마의 행동에 거즈로 가린 여자는 자신의 엄마가 아니라는 끔찍한 의심이 형제의 마음속에 자리 잡는다.,/aCaqCvYn48b3lfGKGnUdVAE1yeB.jpg,/oHhD5jD4S5ElPNNFCDKXJAzMZ5h.jpg,"[27, 18, 53]","[9714, 15016]","[3489, 1696015, 1696014, 50117, 74961]",[1396430],5.58,https://movie.naver.com/movie/bi/mi/basic.nhn?code=128667
586047,서복,서복,2021-04-12,7.4,58.495,"과거 트라우마를 안겨준 사건으로 인해 외부와 단절된 삶을 살아가고 있는 전직 요원 기헌은 정보국으로부터 거절할 수 없는 마지막 제안을 받는다. 줄기세포 복제와 유전자 조작을 통해 만들어진 실험체 서복을 안전하게 이동시키는 일을 맡게 된 것. 하지만 임무 수행과 동시에 예기치 못한 공격을 받게 되고, 가까스로 빠져나온 기헌과 서복은 둘만의 특별한 동행을 시작하게 된다. 실험실 밖 세상을 처음 만나 모든 것이 신기하기만 한 서복과 생애 마지막 임무를 서둘러 마무리 짓고 싶은 기헌은 가는 곳마다 사사건건 부딪친다. 한편, 인류의 구원이자 재앙이 될 수도 있는 서복을 차지하기 위해 나선 여러 집단의 추적은 점점 거세지고 이들은 결국 피할 수 없는 선택을 하게 되는데…",/yC4DRg5aGgNpkHpUDpLtBqzownS.jpg,/6R3eKsdVS7ZWrY28QUt3DCG3N72.jpg,"[878, 28]","[402, 215131]","[150903, 587634, 1566012, 93996, 564844]",[1630357],6.33,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159074
656663,잭애스 포에버,Jackass Forever,2022-02-01,6.9,58.428,"2000년부터 미국 MTV에서 방영되며 큰 인기를 끌었던 온갖 지저분하고 위험한 장난이 가득한 동명의 쇼 시리즈를 영화화하며 대박을 쳤던 잭애스 더 무비의 20주년을 기념하여 제작된 작품.  원심분리기에 묶여 돌고, 토할 때까지 강제로 음료수를 마시며, 대포에서 발사되는 등 독창적이지만 정신 나간 위험한 게임 속에서 벌어지는 잭애스 크루들의 무모한 도전과 뱀, 꿀벌, 곰, 황소, 전갈, 거대 거미 등의 위험한 동물과 곤충을 이용한 대결이 펼쳐집니다.  실제로 크루의 리더인 조니 낙스빌은 흥분한 황소에 치어 뇌출혈의 부상을 입기도 했다고 합니다.",/f2J8DpT5bqV0AiI9VVcfiuqKo5l.jpg,/ugIdyvtAzHWOguD91UjHKoAvfum.jpg,"[35, 99]","[236442, 249897, 303377]","[9656, 56585, 56586, 86627, 78840]",[56578],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=216911
338762,블러드샷,Bloodshot,2020-03-05,6.8,49.973,"아내와 함께 휴가를 보내던 특수 부대원 ‘레이’(빈 디젤)는 정체불명의 적에게 납치되어 살해당한다. 혈액 속에 수많은 나노봇을 주입하는 최첨단 프로젝트 블러드샷을 통해 부활한 레이. 놀라운 치유력과 가공할 만한 파워의 슈퍼 히어로로 업그레이드된 레이는 아내를 죽인 놈을 찾아 무차별적인 복수의 질주를 시작한다. 하지만, 자신이 진짜라고 생각했던 것들이 거짓임을 깨닫게 되는데… 복수의 시작, 액션의 끝! 2020년 액션 블록버스터의 최종 진화를 확인하라!",/lP5eKh8WOcPysfELrUpGhHJGZEH.jpg,/5S45aZzCo6rIeE8zLsffi5lCYz6.jpg,"[28, 878]","[2651, 9715, 9717, 10937, 164218, 258575]","[12835, 1222992, 209326, 20286, 66441]",[1773871],7.60,https://movie.naver.com/movie/bi/mi/basic.nhn?code=192141
175112,팅커벨 5: 해적요정,Tinker Bell and the Pirate Fairy,2014-02-13,6.9,52.496,호기심 많은 가루지킴이 요정 자리나는 요정 가루가 보여주는 마술 같은 능력을 늘 신기해 한다. 개리 요정은 신비한 푸른 가루로 요정 가루를 더욱 더 많이 만들어 내는 능력을 자리나에게 보여주며 가루지킴이 요정들은 신비한 능력을 지닌 요정 가루를 늘 조심이 다뤄야 한다고 당부 한다. 호기심 많은 자리나는 개리 요정 몰래 숨겨온 요정 가루를 이용해 자신의 집에서 여러 실험을 하게 되고 호기심만큼이나 위험한 실험들도 하게 된다. 옆에서 지켜보던 팅커벨은 요정 가루의 신비로운 힘을 경계할 필요가 있다는 생각을 하게 된다. 요정 가루를 이용해 픽시할로우에 한바탕 소동을 일으킨 자리나에게 개리 요정은 더 이상 가루지킴이 요정 일을 맡길 수 없다고 말하는데...,/7esJWrkUGgl4QGisKMk8hZhWKQ7.jpg,/qZLBe9Z8Y6WSDVqbqTQJUf8V1mp.jpg,"[16, 10751]","[2710, 3205, 12988, 158023, 179431, 187056]","[52404, 110014, 91606, 140, 66896]",[80672],9.45,https://movie.naver.com/movie/bi/mi/basic.nhn?code=114234
410113,링컨의 집에서 살아남기: 더 무비,The Loud House Movie,2021-08-20,7.5,58.217,"엄마와 아빠, 열 명의 누이여, 링컨의 뒤를 따르라! 뿌리를 찾아 스코틀랜드로 떠난 라우드 가족. 그들에게 왕족의 피가 흐른다니, 여기 눌러앉아 살아볼까? 유쾌하고 요란한 뮤지컬 여행.",/9p3bwHTpX5Axpyp4gxqmDxWaau0.jpg,/mab5wPeGVjbMyYMzyzfdKKnG9cl.jpg,"[16, 10751, 35, 12, 14]",[4344],"[2597712, 283842, 71861, 52698, 1401389]",[2136790]
281957,레버넌트: 죽음에서 돌아온 자,The Revenant,2015-12-25,7.5,58.206,"서부 개척시대 이전인 19세기 아메리카 대륙, 전설적인 모피 사냥꾼인 휴 글래스 는 아들 호크를 데리고 동료들과 함께 사냥하던 중 회색곰에게 습격 당해 사지가 찢긴다. 하지만 돈에 눈이 먼 비정한 동료 존 피츠 제럴드 는 아직 살아 있는 휴를 죽이려 하고, 아들 호크가 이에 저항하자 호크마저 죽인 채 숨이 붙어 있는 휴를 땅에 묻고 떠난다. 눈 앞에서 하나뿐인 아들의 죽음을 목격한 휴는 처절한 복수를 위해 부상 입은 몸으로 배신자 존 피츠제럴드의 뒤를 쫓아 300km가 넘는 광활하고 거친 야생에서 인간의 한계에 도전하는데...",/3uM41OT0RfBkE6Gb6U89LEskJBr.jpg,/p1SlVBoMxrQZrlyDPjYvG0OICwl.jpg,"[37, 18, 12]","[570, 818, 970, 1262, 1442, 2522, 3593, 5774, 6536, 9454, 9468, 9672, 9714, 9748, 9826, 10292, 10322, 10349, 10468, 10794, 14808, 155573, 158175, 162722, 180173, 188266, 207928, 232116, 245378]","[6193, 2524, 93210, 93491, 1560185]",[223],7.88,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124212
249070,히트맨: 에이전트 47,Hitman: Agent 47,2015-08-20,5.8,54.983,"유전공학을 통해 에이전트 클론들의 뛰어난 능력만을 모아 탄생된 에이전트 47.  그는 인간의 감정은 제거되고 뛰어난 지능과 강인한 체력, 빠른 스피드로 업그레이드된 DNA를 가진 완벽한 인간이다.  에이전트 47의 새로운 타깃은 그의 DNA를 활용, 살인병기 군단을 만들려는 거대 조직.  이 거대한 조직을 이길 수 있는 비밀을 지닌 여인과 함께 그들에게 맞서며 자신의 능력에 숨겨진 엄청난 비밀을 알게 된다.  자신의 비밀이 밝혀지기 전에 흔적 없이 타깃을 제거 에이전트 47, 그의 완벽한 액션이 펼쳐진다!",/3gjYzFP2w2bx6srcZkfS667jnl0.jpg,/yUon3DNSU7lg6ga7nLWIFn30Atk.jpg,"[28, 80, 53]","[782, 1308, 2051, 2708, 13129, 15127, 41645]","[36669, 17306, 577478, 53257, 8801]",[1413740],7.90,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122469
481084,아담스 패밀리,The Addams Family,2019-10-10,6.6,58.176,"고메즈와 모티시아는 결혼식 도중에 결혼을 반대하는 사람들에게 쫓겨 달아나다가 우연히 버려진 성을 발견한다. 으스스한 그 곳을 집으로 삼고 딸 웬즈데이와 아들 퍽슬리를 키우며 살아간다. 어느 날, 아담스 가족은 평범한 동네를 방문하게 되고 사람들은 그들의 기괴한 모습과 행동에 기겁하며 달아난다. 웬즈데이가 그 동네의 학교를 다니게 되면서 파커와 친구가 되어 서로 변해 가기 시작한다. 파커의 엄마는 이상하게 달라진 파커의 모습에 아담스 가족을 괴물로 몰아가며 괴롭히기 시작한다.",/uCAy0n0WHTGU4d3LMJtE0fQxCej.jpg,/fykFaD4flUkSHZsWACnjg9Uw6eR.jpg,"[10751, 16, 35, 14, 27]","[4553, 6513, 18035, 209194]","[25072, 6885, 1442069, 56734, 208519]","[12080, 142587]",6.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=210283
450465,글래스,Glass,2019-01-16,6.7,58.114,"틈틈이 도시의 수호자로 활약하며 지내던 데이빗은 납치범 케빈의 존재를 알게 된다. 두 사람은 서로의 비범한 능력을 알아보지만 대결을 마무리 짓기도 전에 엘리 스테이플 박사에 의해 정신병원에 수감된다. 병원에는 두 사람 외에 미스터 글래스도 입원해 있다. 엘리 박사는 이들을 자신이 슈퍼히어로라 믿는 과대망상 환자로 치부한다. 그 와중에 글래스는 자신만의 계획을 실행에 옮긴다. 불행한 히어로 데이빗과 상처 깊은 안티 히어로 케빈의 대결을 부추기고, 슈퍼히어로의 존재를 세상에 알리고자 한다. 그러면서 자신은 배후의 설계자이자 창조자로 남으려 한다.",/ngBFDOsx13sFXiMweDoL54XYknR.jpg,/cbWKoXw5Q13BwahSQmvyJb59vNk.jpg,"[53, 18, 878]","[3289, 9663, 9715, 10323, 12352, 33637, 41329, 169411, 212803, 240306]","[5530, 62, 2231, 1397778, 34490]",[11614],0.00,https://movie.naver.com/movie/bi/mi/basic.nhn?code=216494
850818,"바비: 빅 시티, 빅 드림스","Barbie: Big City, Big Dreams",2021-08-20,7.1,58.022,공연예술 여름 프로그램을 위해 말리부를 떠나 뉴욕에 간 바비. 브루클린 출신의 바비를 만나 친해진다. 둘의 목표는 우등생이 되어 라이브 무대에 서는 것. 이를 위한 우정의 대결이 시작된다.,/rnSn1m7na0AkvVelLVR7y9B85jV.jpg,/jeggetf6lrd0dhtcbqJH75Sik4K.jpg,"[16, 10402, 10751]",[10542],"[63333, 3003427, 2467979, 1670534, 2112099]",[3158582]
68735,워크래프트: 전쟁의 서막,Warcraft,2016-05-25,6.3,50.109,"서로 다른 차원에 살고 있던 인간과 오크.  오크의 행성이 황폐해지기 시작하자, 이들은 인간의 행성으로 넘어와 새로운 왕국을 건설하려 한다. 생존을 위해 서로의 도움이 필요하다고 믿는 인간 종족의 영웅 ‘로서’와 오크 종족의 영웅 ‘듀로탄’. 하지만, 공존에 반대하는 또 다른 세력이 분열되면서 두 진영은 더 큰 혼란에 빠지게 되는데…  세상의 운명을 건 피할 수 없는 전쟁이 시작된다!",/riaO9lEYnzlmkILiLG3Y6HtJaM3.jpg,/gQgVIElQcC7Rfhjr6E6DxWg5v77.jpg,"[28, 12, 14]","[282, 603, 606, 2343, 3713, 9717, 10442, 10821, 14946, 41645, 177912, 189113, 209220, 211674, 228295, 234213]","[77700, 52851, 11107, 55470, 224167]",[81850],8.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=75006
456740,헬보이,Hellboy,2019-04-10,5.5,57.998,"'헬보이' 자신이 소속된 B.P.R.D의 임무로 영국의 한 비밀 단체의 괴수 사냥을 도우러 갔지만 되려 공격을 당하고, 곧 영국에서 어마어마한 일이 벌어지고 있다는 것을 알게 된다. 서기 566년, 아서왕에게 패하고 몸이 7조각으로 나뉘어 봉인된 '블러드 퀸'을 다시 부활시켜 인류를 파멸시키려는 초자연적 빌런들에 의해 영국은 물론 전 세계가 위험에 빠지게 된다. 헬보이는 이들에 맞서 인류를 위험으로부터 구해야만 하는데…",/5BkSkNtfrnTuKOtTaZhl8avn4wU.jpg,/gua7L4syuPUZeG35lpu5xvOzquH.jpg,"[14, 28, 12, 878]","[212, 2908, 9717, 18300, 161184, 222851, 230022, 240119, 245742, 252153, 255774, 256046]","[35029, 63, 6972, 1535218, 18307]",[57581],6.80,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164200
273477,좀비 서바이벌 가이드,Scouts Guide to the Zombie Apocalypse,2015-10-23,6.5,57.751,어린 시절부터 6년간 스카우트 생활을 해온 벤(타이 쉐리던)과 카터(로건 밀러)는 카터의 누나 켄들(할스톤 세이지)이 참여하는 비밀파티에 초대를 받는다. 초대를 받은 날 파티에 참여하기 위해 스카우트 캠프를 빠져나온 벤과 카터. 하지만 파티 전 평소 호기심을 갖고 있던 스트립클럽의 문지기가 없은 것을 본 카터는 몰래 클럽에 들어갔다가 좀비들의 공격을 받는다.  뜬금없는 좀비들의 공격. 그곳에서 데니스(사라 두몬트)를 만난 벤과 카터는 비밀파티가 열리는 장소로 켄들을 구하러 가는데...,/hUpHXyLRNvtt0AAwdPmUsSQQKB8.jpg,/9tEZuQo04BhCw1NdZ3lGV89nKDy.jpg,"[35, 27]","[1366, 1890, 2333, 3688, 10292, 12377, 18315, 162521, 169990, 186565]","[1034681, 1223438, 116088, 1326885, 28638]",[54248],7.88,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123221
228161,홈,Home,2015-03-18,6.8,49.667,"떴다 하면 대형사건인 우주 최강의 사고뭉치 ‘오’. 부브 종족이 지구로 이사 온 첫 날, 사소한 실수로 모두를 위험에 빠트린 오는 쫓기는 신세가 되고 만다. 도망치던 오는 잃어버린 엄마를 찾아 나선 당찬 소녀 ‘팁을 만나게 되고 팁은 엄마 찾기를 도와준다는 오의 말에 어쩔 수 없이 함께 길을 나선다.  맞는 구석이라곤 찾아볼 수 없는 오와 팁. 하지만 이들을 쫓는 포위망은 쉬지 않고 좁혀 오는데…!",/jqVFrhFLqrOn72TImJuIzYWKByv.jpg,/au1Pw7qjqCMTVZDIRg0KhrUK1Yh.jpg,"[14, 35, 16, 878, 10751]","[1612, 9882, 9951, 14909, 197194, 235972, 235974]","[5374, 131519, 67773, 16866, 191202]",[52870],8.95,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221038
